hospitalId,hospital_name,resourceType,ts,used,on_hand,total_quantity,available,borrow_quantity,urgency_level,transfer_in_qty,transfer_out_qty,hospital_latitude,hospital_longitude,district,state
RJ_SMS,SMS Hospital Jaipur,bed,20-08-2023,370,834,815,464,19,Low,10,15,26.9124,75.7873,Jaipur,Rajasthan
BR_PMCH,PMCH Patna,ventilator,21-01-2024,106,172,143,66,29,Low,26,28,25.61,85.1415,Patna,Bihar
GJ_Civil,Civil Hospital Ahmedabad,bed,20-12-2017,423,798,773,375,25,High,20,21,23.0225,72.5714,Ahmedabad,Gujarat
UP_SGPGIMS,SGPGIMS Lucknow,ambulance,05-01-2016,20,50,84,35,16,Medium,10,12,26.8467,80.9462,Lucknow,Uttar Pradesh
DL_AIIMS,AIIMS Delhi,ambulance,15-01-2021,26,85,84,59,10,Low,10,10,28.5672,77.21,New Delhi,Delhi
BR_PMCH,PMCH Patna,oxygen,02-06-2016,214,860,775,646,85,High,48,67,25.61,85.1415,Patna,Bihar
AS_Gauhati,Gauhati Medical College,oxygen,11-02-2024,230,787,745,557,42,Low,40,40,26.1445,91.7362,Guwahati,Assam
KL_MCH,Med Coll Thiruvananthapuram,bed,06-12-2016,404,792,724,388,68,Low,38,45,8.5241,76.9366,Thiruvananthapuram,Kerala
OR_SCB,SCB Med Coll Cuttack,oxygen,16-06-2021,194,497,432,303,65,High,46,10,20.4625,85.8828,Cuttack,Odisha
HR_PGIMS,PGIMS Rohtak,bed,18-12-2019,369,833,816,464,17,Low,17,13,28.8955,76.6066,Rohtak,Haryana
JH_RIMS,RIMS Ranchi,oxygen,26-03-2024,201,704,677,503,27,Medium,17,14,23.3441,85.3096,Ranchi,Jharkhand
GJ_Civil,Civil Hospital Ahmedabad,ventilator,04-02-2023,29,230,237,201,19,Low,19,19,23.0225,72.5714,Ahmedabad,Gujarat
TS_Gandhi,Gandhi Hospital Hyderabad,bed,02-10-2018,402,787,759,385,28,Low,21,12,17.385,78.4867,Hyderabad,Telangana
PB_PGI,PGIMER Chandigarh,bed,16-05-2021,390,694,646,304,48,Low,42,46,30.75,76.78,Chandigarh,Punjab
KA_NIMHANS,NIMHANS Bengaluru,ventilator,19-06-2016,53,176,151,123,28,Low,25,17,12.943,77.5966,Bangalore Urban,Karnataka
KA_NIMHANS,NIMHANS Bengaluru,ambulance,25-06-2024,30,57,75,27,12,Low,12,10,12.943,77.5966,Bangalore Urban,Karnataka
